Measured Depth m,var1(t)
573.4,18.06
573.45,18.06
573.5,18.06
573.55,18.06
573.6,18.06
573.65,18.06
573.7,18.06
573.75,18.06
573.8,18.06
573.85,18.06
573.9,18.06
573.95,18.06
574.0,18.06
574.05,18.06
574.1,18.06
574.15,18.06
574.2,18.06
574.25,18.06
574.3,18.06
574.35,18.06
574.4,18.06
574.45,18.06
574.5,18.06
574.55,18.06
574.6,18.06
574.65,18.06
574.7,18.06
574.75,18.06
574.8,18.06
574.85,18.06
574.9,18.06
574.95,18.06
575.0,18.06
575.05,18.06
575.1,18.06
575.15,18.06
575.2,18.06
575.25,18.06
575.3,18.06
575.35,18.06
575.4,18.06
575.45,18.06
575.5,18.06
575.55,18.06
575.6,18.06
575.65,18.06
575.7,18.06
575.75,18.06
575.8,18.06
575.85,18.06
575.9,18.06
575.95,18.06
576.0,18.06
576.05,18.06
576.1,18.06
576.15,18.06
576.2,18.06
576.25,18.06
576.3,18.06
576.35,18.06
576.4,18.06
576.45,18.06
576.5,18.06
576.55,18.06
576.6,18.06
576.65,18.06
576.7,18.06
576.75,18.06
576.8,18.06
576.85,18.06
576.9,18.06
576.95,18.06
577.0,18.06
577.05,18.06
577.1,18.06
577.15,18.06
577.2,18.06
577.25,18.06
577.3,18.06
577.35,18.06
577.4,18.06
577.45,18.06
577.5,18.06
577.55,18.06
577.6,18.06
577.65,18.06
577.7,18.06
577.75,18.06
577.8,18.06
577.85,18.06
577.9,18.06
577.95,18.06
578.0,18.06
578.05,18.06
578.1,18.06
578.15,18.06
578.2,18.06
578.25,18.06
578.3,18.06
578.35,18.06
578.4,18.06
578.45,18.06
578.5,18.06
578.55,18.06
578.6,18.06
578.65,18.06
578.7,18.06
578.75,18.06
578.8,18.06
578.85,18.06
578.9,18.06
578.95,18.06
579.0,18.06
579.05,18.06
579.1,18.06
579.15,18.06
579.2,18.06
579.25,18.06
579.3,18.06
579.35,18.06
579.4,18.06
579.45,18.06
579.5,18.06
579.55,18.06
579.6,18.06
579.65,18.06
579.7,18.06
579.75,18.06
579.8,18.06
579.85,18.06
579.9,18.06
579.95,18.06
580.0,18.06
580.05,18.06
580.1,18.06
580.15,18.06
580.2,18.06
580.25,18.06
580.3,18.06
580.35,18.06
580.4,18.06
580.45,18.06
580.5,18.06
580.55,18.06
580.6,18.06
580.65,18.06
580.7,18.06
580.75,18.06
580.8,18.06
580.85,18.06
580.9,18.06
580.95,18.06
581.0,18.06
581.05,18.06
581.1,18.06
581.15,18.06
581.2,18.06
581.25,18.06
581.3,18.06
581.35,18.06
581.4,18.06
581.45,18.06
581.5,18.07
581.55,18.07
581.6,18.08
581.65,18.09
581.7,18.1
581.75,18.11
581.8,18.11
581.85,18.12
581.9,18.13
581.95,18.14
582.0,18.14
582.05,18.15
582.1,18.15
582.15,18.15
582.2,18.15
582.25,18.15
582.3,18.15
582.35,18.15
582.4,18.15
582.45,18.15
582.5,18.15
582.55,18.15
582.6,18.15
582.65,18.15
582.7,18.15
582.75,18.15
582.8,18.15
582.85,18.15
582.9,18.15
582.95,18.15
583.0,18.15
583.05,18.15
583.1,18.15
583.15,18.15
583.2,18.15
583.25,18.15
583.3,18.15
583.35,18.15
583.4,18.15
583.45,18.15
583.5,18.15
583.55,18.15
583.6,18.15
583.65,18.15
583.7,18.15
583.75,18.15
583.8,18.15
583.85,18.15
583.9,18.15
583.95,18.15
584.0,18.15
584.05,18.15
584.1,18.15
584.15,18.15
584.2,18.15
584.25,18.15
584.3,18.15
584.35,18.15
584.4,18.15
584.45,18.15
584.5,18.15
584.55,18.15
584.6,18.15
584.65,18.15
584.7,18.15
584.75,18.15
584.8,18.15
584.85,18.15
584.9,18.15
584.95,18.15
585.0,18.15
585.05,18.15
585.1,18.15
585.15,18.15
585.2,18.15
585.25,18.15
585.3,18.15
585.35,18.15
585.4,18.15
585.45,18.15
585.5,18.15
585.55,18.15
585.6,18.15
585.65,18.15
585.7,18.15
585.75,18.15
585.8,18.15
585.85,18.15
